Text,Sentiment,Final_Sentiment
 Enjoying a beautiful day at the park!              ,Positive,Positive
 Traffic was terrible this morning.                 ,Negative,Negative
 Just finished an amazing workout! 💪               ,Positive,Positive
 Excited about the upcoming weekend getaway!        ,Positive,Positive
 Trying out a new recipe for dinner tonight.        ,Neutral,Neutral
 Feeling grateful for the little things in life.    ,Positive,Positive
 Rainy days call for cozy blankets and hot cocoa.   ,Positive,Positive
 The new movie release is a must-watch!             ,Positive,Positive
 Political discussions heating up on the timeline.  ,Negative,Negative
 Missing summer vibes and beach days.               ,Neutral,Neutral
 Just published a new blog post. Check it out!      ,Positive,Positive
 Feeling a bit under the weather today.             ,Negative,Negative
 Exploring the city's hidden gems.                  ,Positive,Positive
" New year, new fitness goals! 💪                    ",Positive,Positive
 Technology is changing the way we live.            ,Neutral,Neutral
 Reflecting on the past and looking ahead.          ,Positive,Positive
 Just adopted a cute furry friend! 🐾              ,Positive,Positive
 Late-night gaming session with friends.            ,Positive,Positive
 Attending a virtual conference on AI.              ,Neutral,Neutral
 Winter blues got me feeling low.                   ,Negative,Negative
 Sipping coffee and enjoying a good book.           ,Positive,Positive
 Exploring the world of virtual reality.            ,Positive,Positive
 Productive day ticking off my to-do list.          ,Positive,Positive
 Just finished a challenging workout routine.       ,Positive,Positive
 Celebrating a milestone at work! 🎉               ,Positive,Positive
 Sunday brunch with friends.                        ,Positive,Positive
 Learning a new language for personal growth.       ,Positive,Positive
 Quiet evening with a good book.                    ,Positive,Positive
 Reflecting on the importance of mental health.     ,Positive,Positive
 New painting in progress! 🎨                       ,Positive,Positive
 Weekend road trip to explore scenic views.         ,Positive,Positive
 Enjoying a cup of tea and watching the sunset.     ,Positive,Positive
 Coding a new project with enthusiasm.              ,Positive,Positive
 Feeling inspired after attending a workshop.       ,Positive,Positive
 Winter sports day at the local park.               ,Positive,Positive
 Quality time with family this weekend.             ,Positive,Positive
 Attending a live music concert tonight.            ,Positive,Positive
 Practicing mindfulness with meditation.            ,Positive,Positive
 Trying out a new dessert recipe.                   ,Positive,Positive
 Excited about the upcoming gaming tournament.      ,Positive,Positive
 Planning a garden makeover for spring.             ,Positive,Positive
 Celebrating a friend's birthday tonight! 🎂       ,Positive,Positive
 Feeling accomplished after a productive day.       ,Positive,Positive
 A cozy evening with a good movie.                 ,Positive,Positive
 Exploring local art galleries this weekend.        ,Positive,Positive
 New book release from my favorite author!          ,Positive,Positive
 Attending a virtual reality meetup.                ,Positive,Positive
 Reflecting on the beauty of nature.                ,Positive,Positive
 Cooking a special dinner for loved ones.           ,Positive,Positive
 Feeling optimistic about the week ahead.           ,Positive,Positive
 Starting a new fitness challenge tomorrow! 💪     ,Positive,Positive
 Sunday bike ride through scenic trails.           ,Positive,Positive
 Can't believe the injustice happening in our society.,Anger,Negative
 Feeling a sense of fear after watching a thriller movie. ,Fear,Negative
 Heartbroken after hearing the news about a natural disaster. ,Sadness,Negative
 The state of the world's environment is just disgusting. ,Disgust,Negative
 Pure happiness: celebrating a loved one's achievement! ,Happiness,Positive
 Laughter is the best medicine—enjoying a comedy show. ,Joy,Positive
 Sharing love and positive vibes with everyone! ❤️      ,Love,Positive
 An amusing incident brightened up my day!               ,Amusement,Positive
 Admiring the beauty of nature during a peaceful hike.   ,Admiration,Positive
 Excitement building up for the upcoming vacation!       ,Excitement,Positive
 Pride in achieving a personal milestone.               ,Pride,Positive
 A moment of shame for not standing up against injustice. ,Shame,Negative
 Fuming with anger after a heated argument.            ,Anger,Negative
 The fear of the unknown is keeping me up at night.    ,Fear,Negative
 Heartfelt sadness after bidding farewell to a dear friend. ,Sadness,Negative
 The state of corruption in our society is utterly disgusting. ,Disgust,Negative
 Overflowing happiness: welcoming a new family member!  ,Happiness,Positive
 Laughter is the key to joy—attending a stand-up comedy show. ,Joy,Positive
 Sending love to all my followers on this beautiful day! ❤️ ,Love,Positive
 Amused by the antics of my pet—it's pure amusement!      ,Amusement,Positive
 Admiring the dedication of volunteers at a local charity. ,Admiration,Positive
 Excitement building up for a surprise birthday party.   ,Excitement,Positive
 Pride in completing a challenging fitness challenge.    ,Pride,Positive
 A moment of shame for not speaking up against injustice.,Shame,Negative
 Excitement for a quiet evening with a good book.        ,Excitement,Positive
 Excitement for a weekend road trip to explore new places. ,Excitement,Positive
 Pride in accomplishing personal and professional goals.  ,Pride,Positive
 Shame for not being true to my values in a difficult situation.,Shame,Negative
" Embracing the beauty of nature, a moment of contentment. ",Contentment,Positive
 Overflowing with gratitude for life's blessings.      ,Gratitude,Positive
" Hopeful for a brighter tomorrow, despite challenges.  ",Hope,Positive
 Enthusiastically diving into a new project.            ,Enthusiasm,Positive
 Contentment in the simplicity of a quiet Sunday.       ,Contentment,Positive
 Gratitude for the support received during tough times. ,Gratitude,Positive
 Hopeful about the possibilities of a new journey.      ,Hope,Positive
 Enthusiasm for a creative project in the making.       ,Enthusiasm,Positive
 Contentment in the simplicity of a home-cooked meal. ,Contentment,Positive
 Gratitude for the supportive community around me.    ,Gratitude,Positive
 Hopeful about the prospects of a new business venture.,Hope,Positive
 Enthusiasm for a new artistic project in the works.  ,Enthusiasm,Positive
 Contentment in the embrace of a loved one.           ,Contentment,Positive
 Gratitude for the small joys that each day brings.   ,Gratitude,Positive
 Hopeful about the potential for personal growth.      ,Hope,Positive
 Enthusiasm for a DIY home improvement project.       ,Enthusiasm,Positive
" Overwhelmed by grief, missing a loved one dearly.  ",Grief,Negative
 Frustration mounts as obstacles block my path.     ,Frustration,Negative
" Boredom sets in, the day feels endlessly dull.     ",Boredom,Negative
" Anxiety grips my heart, worry clouds my thoughts.  ",Anxiety,Negative
 Regret over missed opportunities haunts my thoughts.,Regret,Negative
 Disgust at the sight of injustice and cruelty.     ,Disgust,Negative
" Grief weighs heavy, tears a constant companion.    ",Grief,Negative
" Frustration boils over, a volcanic eruption of emotions.",Frustration,Negative
" Boredom settles like dust, life feels mundane.     ",Boredom,Negative
" Anxiety grips my chest, a relentless grip on my thoughts.",Anxiety,Negative
 Regret for decisions that led to a painful present.,Regret,Negative
 Disgust at the corruption that stains society.     ,Disgust,Negative
" Grief overwhelms, a storm of emotions within.      ",Grief,Negative
" Frustration escalates, a thunderstorm of emotions. ",Frustration,Negative
" Boredom lingers, a stagnant pool of indifference.  ",Boredom,Negative
" Lost in the vast sea of information, an indifferent wave in the digital ocean. ",Indifference,Neutral
" Floating through the day with an air of indifference, detached from the mundane happenings around. ",Indifference,Neutral
